text,solution
Strikers at @Shell -sponsored @NationalGallery protest against #privatisation #kayaktivists #ShellNo @NaomiAKlein http://t.co/CW6wyEw8Mo,anger
@jadeflahertyxo @tateliverpool obviously! I'll come home next month for it. Yay,joy
@NationalGallery @NPGLondon @pcs_union I won't be seeing the Goya. After 50 years of pictures NGL on my pariah list until Candy reinstated,anger
@britishmuseum @aroberts_andrew #Waterloo200 So then: With communication being awful and battle fields open for even beer sellers: why did /,neutral
#ff @FightingCocksWA @FryArtGallery @FitzMuseum_UK @SWTFootballClub @force36ltd @Flightplan_UK @SaffronWaldenGC @GiveBloodNHS @Gouldspetshop,neutral
@britishmuseum: .@britishlibrary opened at St Pancras #onthisday in 1998! Learn more about our shared history http://t.co/XiTG7N3pVZ,neutral
@britishmuseum @LisaGalvin_BM Beautifully Balanced #BeeArticle. I know of being stung while in trance. I swotted 'bees' with Jackal's tail,neutral
"I'm at @BritishMuseum in London, Greater London https://t.co/mvYoUVob2X",neutral
"@britishmuseum Enchanting mythologically inspired Renaissance jewellery! ~ ""WoW!"" I love the mermaid riding a seahorse &lt;3",joy
@tateliverpool Member's Preview of #JacksonPollock #BlindSpots yesterday at #TateLiverpool FANTASTIC exhibition - congratulations!,joy
@lisamaythomas &amp; dancers have arrived @ICIABath! Glad to have you in residence till Touch Diraies premier 9th July https://t.co/MriDjrhCbN,joy
"Neil MacGregor @britishmuseum delivering #QueensLecture @TUBerlin today on ""Symbols of a Nation"": http://t.co/gh3mruLEXW #QueenInGermany",neutral
Visited the #SocialFabric exhibit today at @RAMMuseum. So much culture and history in one room 🌿#MegaInspiration http://t.co/GOnFu38RFt,joy
@britishmuseum Kids (and their parents) can discover Henry VIII 's life and his fellow Francis I of France https://t.co/3fiktDmDau,neutral
View from @tateliverpool @CruiseLpool @lpoolwaterfront @LivEchonews @scousescene http://t.co/8UHPjU85Uy,neutral
#JamesRichards install @_TheWhitechapel pairs Bacon’s Study for a Portrait W sounds of silence http://t.co/hPsd2G6OXp http://t.co/ukIHP9tvi2,neutral
"My kids have special names for @CamUnivMuseums . Mike the Knight Museum, Dinosaur Museum &amp; Museum of Cold Places #LoveMuseums #Cambridge",joy
@britishmuseum:King of England Edward I born #onthisday in 1239. amedieval seal from his reign http://t.co/kHXKruIHaE http://t.co/wzYKEoF8zY,neutral
"Why Jackson #Pollock gave up painting... http://t.co/bSdG9u4sjZ MUST: 'Blind Spots' at @tateliverpool, 30 Jun-18 Oct http://t.co/WxX9pONqqT",neutral
@DyingMatters Lessons in Death and Living @NationalGallery reflects on relevance of paintings of death for us today http://t.co/fS8dtBot3Z,neutral
@CarolineLawrenc @britishmuseum They're so cute!,joy
@britishmuseum @thehistoryguy Gosh periscope is definitely on trend. High profile people using it and I have not even tried it yet.,surprise
Breathtaking display @britishmuseum but nothing makes me swoon like the Barberini Faun #DefiningBeauty http://t.co/gInGd7Vcel,joy
"@eguilbs I forget the correct hashtag, but was about how the @britishmuseum could move towards a better future in the digital age. Was cool!",joy
@BonVoyageurs @britishmuseum Beautiful post!,joy
The @NationalGallery - a perfect haven on a rainy London Sunday,joy
@HistoryLibya @britishmuseum الله اكبر علي الليبين,neutral
Blog post: #AsktheGallery how not to engage with an angry audience. @NationalGallery brushes questions aside http://t.co/kfTCCyxFAD,anger
The Astronomers of Babylon (explorable website) by @britishmuseum http://t.co/XSyJcM1ua8 http://t.co/NqoViXK22h,neutral
"@PenguinUKBooks @aroberts_andrew @britishmuseum Did Napoleon's uniform survive... &amp; if so, where is it now?",neutral
Day 1 of filming today... I will be visiting @tateliverpool @SlaveryMuseum @MuseumLiverpool and many more places! #vlog #day1,joy
@britishmuseum Great update! It's now featured on on http://t.co/3r5WPxT0Jc http://t.co/vBECDK2bj5,joy
"@britishmuseum  '　　,⌒ 、 ＿／/＿_\＼＿ '乛彡ㅎ_ㅎ 乛 ,,= 乀_-丿=,、 ／/ \＼^　\＼ ＼二:\ ＼:)/／ 　/' ／^＼ \ （／\ ｜ /＼) .　/二｜二\ 　　_|｜|_ 　（＿/\＿) #Waterloo200",neutral
Take a virtual tour of 18 rooms at the @NationalGallery http://t.co/zqKc4oIAnZ #museos,neutral
Exhibition sounds fab - #photographs #indigenous #Siberia #Mongolia @MAACambridge #sensory #relational #knowledge https://t.co/VGC0o9HHpA,joy
More on Napoleon by @aroberts_andrew at the @britishmuseum tonight at 6.30pm @KingsCollegeLon @kingshistory http://t.co/U0E1kRX9GO,neutral
@vexxxed yes please! Saw his show @_TheWhitechapel years ago.,joy
Wimbledon join @Disney and the @NationalGallery in the list of destinations that are clamping down on selfie sticks http://t.co/gQH8PSmn4A,neutral
@CamUnivMuseums to take part in Subject Taster Week in Sept for post 16 students https://t.co/zvUIt6wGpk http://t.co/BpK9x0TWGV,neutral
@BMAGcurators @NationalGallery @artfund @HelenHillyard @BM_AG,neutral
#donottouch @britishmuseum (not the real one - promise!) http://t.co/FCZSLOixQr,joy
@elginism does it mean the @britishmuseum justifies Elgin's theft as he was protecting the #Sculptures from the Ottomans occupation of #GR?,neutral
.@Bobstaah @NationalGallery thanks Bobby. I'm heading to London in a couple of weeks - I'll take a look. ELC,joy
#DefiningBeauty at @britishmuseum looks at how ancient Greeks used human body as object of beauty &amp; bearer of meaning http://t.co/Rb5NMTLYql,neutral
"@britishmuseum Omg, he looks totally like Al Pacino! http://t.co/jHgsdUsFCn /@schriftart",surprise
Are the Rothschild bronzes by #Michelangelo?@FitzMuseum_UK is holding a conference to find out http://t.co/X11IZD0uts http://t.co/QM0K31ZmTM,neutral
BAM construction wins contract to extend and refurbish Tate St Ives  http://t.co/zC6ephBlVE @Tate_StIves #StIves... http://t.co/vgE6I5avrn,neutral
We hope that Y12 history of art pupils enjoy their visit to @kettlesyard today,joy
@britishmuseum Thank you very much!,joy
"@NationalGallery If you studied the OU's Introduction to Humanities, you'll know this painting well",neutral
Researcher @Mona3Dimaging discussed 3D imaging cultural heritage on our #engineering pod https://t.co/XAkzb1Ikzw @3D_Digi_SI @britishmuseum,neutral
@britishmuseum @CFontainebleau @MuseeArmee  I picture it waiting to be rescued from an ancient attic....thank you!,joy
@GurmeetKaur6 @britishmuseum tx,neutral
I just told @tate @britishmuseum @NPGLondon &amp; @RoyalOperaHouse to #DropBP Sponsorship. Join me: http://t.co/gmbtUDKh6m,anger
@GraziaMgb616 @britishmuseum la prossima volta? 😭😭😭😭 alla fine i libri fanno male??dove lo trovo un jamie??nemmeno uno vagamente simile....,neutral
"War, by Henri Rousseau 1891 Oil on Canvas (@NationalGallery) http://t.co/Pxkw82CFln",neutral
"St Botolph's Priory, remains of Tudor #Colchester “@britishmuseum: Henry VIII was crowned king #onthisday in 1509."" http://t.co/CuwQ06J2Nw",neutral
@TessaK3 @britishmuseum The shit of kings frightened by Napoleon.,neutral
@britishmuseum thank you for a fascinating scope,joy
@britishmuseum interesting #periscope broadcast with @thehistoryguy - but landscape format very difficult to view on phones - please amend,joy
Pretty cool #curator up right now at the Polar Museum in Cambridge @CamUnivMuseums http://t.co/4nPmeW5we7 (pun semi-intended...),joy
I've won two free tickets to the private viewing of the Jackson Pollock exhibition @tateliverpool can't wait!!!!! 😊,joy
Who's going to the Jackson Pollock PV @tateliverpool tonight? Great @Guardian piece on why he gave up painting: http://t.co/VnN7vZK1af,joy
QT“@britishmuseum: New on the blog: Richard Parkinson discusses sexual identity #Pride2015 http://t.co/yJrbgstgeB http://t.co/nxi8KZc9tY”,neutral
"Now for the keynote of the Piero della Francesca conference, by James R. Banker @NationalGallery @CourtauldStudy",neutral
It's a great day to #AskTheGallery with both @NationalGallery &amp; @Tate opening their Twitter doors for live questions&gt; http://t.co/tYH5tk8k4x,joy
@DorothyJonesDJ @Gilleeece @Arch_Archive If open &amp; I was in London I would have a nose at http://t.co/PlXdJbfnR1 or always  @britishmuseum,neutral
@SassyClyde We won't stop til @britishmuseum dumps #BP. Fill in a feedback form when you're there &amp; watch this space: http://t.co/o2JlUnGi1y,anger
@britishmuseum Here #Buddha cutting his hair in renunciation #Gandhara @AshmoleanMuseum http://t.co/5DJCGvk9Mw,neutral
All I can say is WOW - @britishmuseum: Your groundbreaking #8mummies exhibition is fantastic http://t.co/zlty9A4srL,joy
"Save the date for Artist Talk: Svend Bayer @PlymouthMuseum http://t.co/0GkwYNNgm4 Tues 14 July, 1.10pm",neutral
Really enjoyed the #GlennLigon talk @tateliverpool earlier today. His exhibition is truly stimulating!,joy
Currently @RAMMuseum to discuss #DefeatingDepression with @UofE_Research. Should be interesting.,neutral
@VictoriaRance @kettlesyard @V_and_A these are so beautiful! #GaudierBrzeska,joy
A great @BritishMuseum exhibit is the Lewis Chessmen.Terrific artistry - want to pick up a replica &amp; learn the game! http://t.co/cYjsDCMB1T,joy
@britishmuseum   Statue of Poseidon - National Museum Athens,neutral
@stockleyacademy students are a joy to be spending a day with @NationalGallery #stockleyart http://t.co/q7IKWrQh6q,joy
@britishmuseum Is he holding an orange? Someone had better watch out!,surprise
Get ready for @FL_FLAMIN the Artists Present w/ Beatrice Gibson+ Sarah Turner @_TheWhitechapel http://t.co/HgWldChrCF http://t.co/fSEXRX6pla,neutral
Supercool @britishmuseum !! You seriously rock :D,joy
Frames in Focus: Sansovino Frames ... and so much more at the National Gallery #London  @NationalGallery,neutral
"The Emperor #Napoleon in His Study at the Tuileries, (1812), Painted by #Jacques_Louis_David,@NationalGallery of #Art http://t.co/g3aKAnanrS",neutral
@LondonArtCritic's Top 5 Art Shows to 2C in London this week http://t.co/L8MqhHE3nw @LaceyContemp @britishmuseum http://t.co/vlshGgaDou,neutral
It would have been great to see that material approached using queer theory. @foxvertebrae @britishmuseum,sadness
Je ne savais pas qu’il existait une version précédente à celle  @CourtauldStudy et surtout si différente. @NationalGallery @paulperr1 #Manet,neutral
"Blind Spots, #Pollock black paintings @tateliverpool sounds fascinating, hope I can make the journey north @thetimes http://t.co/V2Y5lPiq2p",joy
Practising Artist required to run workshops @PlymouthMuseum http://t.co/WKfkJusLWX Quote required. Deadline: Fri 26 June #artopps,neutral
From The Tomb Of #Nebamun — 1350 BC | #Egyptology #Archaeology #AncientEgypt @britishmuseum http://t.co/moqNQANDZb,neutral
"@britishmuseum UNESCO  VENETO -THE OPERA collection, per cambiare la storia del Mondo, http://t.co/NsOuQRnFYV",neutral
@psframes @NationalGallery a much welcomed change.,joy
.@_TheWhitechapel's triennial London Open celebrates creativity across the capital 15 July http://t.co/zkGhAvEBrA http://t.co/A6Ep3JRsLb,neutral
@NationalGallery #AskTheGallery Why do you appear to support privatisation? Why don't you value your staff more and support them?,anger
#QueenVictoria's Jubilee Souvenir Badge @britishmuseum http://t.co/52QRZx0QXM,neutral
The Ratzingeriana is out! http://t.co/MWZJMC4rcF Stories via @LB2S @FitzMuseum_UK,joy
@ICIABath FABulous :-),joy
Thanks @EmmaHiggCN for lovely review! @kettlesyard  https://t.co/3rMImVpqHJ,joy
"@NationalGallery in Italian ""Still Life"" is ""Natura  Morta""= ""Dead Nature,""while they are more alive than ever....",neutral
@liveatlica collection in excellent company @LeedsArtGallery - thanks to all involved. @Tate_StIves @newlynexchange http://t.co/fQ34sgf0v6,joy
@CUBGEducation @MAACambridge ooh sounds good!,joy
Rosalba Carriera's Portrait has also retained its original Venetian 18th century frame @NationalGallery http://t.co/ZqyC4HLsFV,neutral
#musicalinstruments in art. Johannes Vermeer 1632-1675 A Lady seated at a Virginal @NationalGallery #genre #oil http://t.co/M7l6pfS56y,neutral
"Discount_Rayban_19,Online_31 http://t.co/qT8e7T4nJG http://t.co/bc64zXbXMR @tateliverpool @tatiadrytwitt @tatianacosta10 @tatianahere",neutral
Thresholds poet @CamUnivMuseums @classarch Sean Borodale's Bee Journal R3 listen again : http://t.co/TIgagP3M9A”,neutral
Tomorrow at #cheltlitfest @CraigClunas talks about @britishmuseum exhibition on Ming dynasty http://t.co/6jU9D1nYv3 http://t.co/LqefFzebQr,neutral
"@redhead262 @Tate_StIves @Tate In the garden, yes!  But not in the gallery. How will I restrain myself from patting #Tides 1946 ?",joy
@britishmuseum w/ @bquentin3 &amp; zada_beda feeling like 21st Century is underperforming &amp; not sure… https://t.co/Q0Dmt8MPZU,sadness
Link http://t.co/6E5WzwVikN por @britishmuseum es el tuit más popular en mis 'news feed' de hoy,neutral
@MooseAllain I look forward to congratulating you in person :-) @roshvarosha @LisaLooly @newmanmpaul @DrawntoDevon @ThelmaHulbert,joy
"@nationalgallery Nicholas Penny, how does it feel to get a knighthood?!",neutral
@NationalGallery One of my favourite paintings!,joy
#painting #inprogress #GerardDavid @nationalgallery #oil so much Thursday fun! https://t.co/4YTblNpLaz,joy
"@johnmbrampton @CambridgeNewsUK @kettlesyard Thank you, John!",joy
"@Needforcaffeine @lisaj2108 @FitzMuseum_UK Had a personal tour, no less... ;)",joy
Thanks for an inspiring day + warm welcome @FitzMuseumEduca @carreno_k @RachelSinfield @CamUnivMuseums,joy
#FF follow Friday! @britishmuseum @Hellena7007 @CreateHistorian @indianamonts @DrVictoria01,neutral
"A ‘sparkling show’ of Turner, Singer Sargent, Cézanne watercolours @FitzMuseum_UK, Cambridge http://t.co/VJnko74IO5 http://t.co/WLJSb0s1qe",joy
@NationalGallery When will you reinstate Candy Udwin? #AskTheGallery,neutral
@britishmuseum @sovonstar We should share this with DAN BAIRD ~ GOTHIC ARTIST this drawing is by artist SALVATOR ROSA born 1615 ~ ETCHING!,joy
@britishmuseum @thehistoryguy NOTHING  CHANGED % NON È CAMBIATO NULLA % НИЧЕГО НЕ ИЗМЕНИЛОСЬ (((((( NO HA CAMBIADO NADA,neutral
Relics and experiments at Barbara Hepworth's studio in St Ives @Tate_StIves #artiststudio # cornwall #scupture http://t.co/3aJLxm05Zg,neutral
@NationalGallery What a beauty! #Baroque,joy
"""@corneliagracchi: @PSmirn @britishmuseum Approximately 25% less than he/she once ""urned"""" Precisely!",neutral
ATTN: Museum of stolen property. Hand back our culture. @britishmuseum http://t.co/KNfY53G7Gt #SOSBLAKAUSTRALIA #NOconsent,anger
Strikers at @Shell -sponsored @NationalGallery protest against #privatisation #kayaktivists #ShellNo @billmckibben http://t.co/UnGD3naDSn,anger
"@ColinGoffin @imagineinquiry Hi, from the @britishmuseum queue. http://t.co/xkZAjuCXlL",neutral
"@adelegeras @FitzMuseum_UK never heard of it , next time i'm in uk will happy to visit:)",joy
"Sunset in the Auvergne, by Théodore Rousseau.  Thought to be completed 1844  (@NationalGallery) http://t.co/q5C4d0xWfF",neutral
@Tate_StIves great to hear her talk about the event. I definitely left with a 'feeling of madness' #materialhistories,joy
"So pleased our fav artist Richard Long wins @_TheWhitechapel award, incredible body of work in 'Time and Space' http://t.co/8uO9ecyeGK",joy
The chorus of @MedeaNX @Britishmuseum http://t.co/rFdRA7lHOc,neutral
Great afternoon at @britishmuseum #DefiningBeauty exhibition with @RiaSarantaridou and @brownie72 :),joy
Rock art can be helpful in learning about different ways in which camels were used in 1st mill CE http://t.co/yJ7uqCDr6V @britishmuseum,neutral
"@artfund @NationalGallery @HelenHillyard Hi, is it possible to make it clear that the Baroque Galleries open to public Fri June 19? Thanks!",neutral
"@britishmuseum @BBCTwo Great news, I've been taping the series and listening to BBC4 as well - fascinating and informative, many thanks!",joy
@NationalGallery 😢 http://t.co/wXjHe34Dkp,neutral
"“@britishmuseum: Born #onthisday in 1898: artist M C Escher, representation of Tower of Babel http://t.co/YhiLc4svUw http://t.co/8sfOWxmL1q”",neutral
@britishmuseum So much teeth problems un ancient Egypt!!! 😁,surprise
"@Kateprintmaker @ComptonVerney This is a real treat, full of inspiration from the @britishmuseum Curious Beasts http://t.co/Gbw1snPRLW",joy
Thrilled to listen to erudite Neil MacGregor from @britishmuseum talking about Germany @CVHISTORYFEST http://t.co/zalas08jDb,joy
@gilescolborne speaking at the @britishmuseum is pretty exciting / daunting... Still trying to decide whether to bring my Mummy or not! 😉,joy
@britishmuseum by Nicholas Hilliard?,neutral
What lies beneath: drapery and the suggested form @britishmuseum  http://t.co/GCUs1yOBHP,neutral
"@artinsociety Thanks, good article @NationalGallery @NeilKC41 #BertheMorisot's dau #JulieManet's diary re her family http://t.co/tlj0vPPM35",joy
Also enjoyed James Richards speaker-bombarding Francis Bacon with soundscape @_TheWhitechapel http://t.co/83UWPwtaiR,joy
From The Tomb Of #Nebamun — 1350 BC | #Egyptology #Archaeology #AncientEgypt @britishmuseum http://t.co/NhMPGK787R,neutral
@_TheWhitechapel Please follow contemporary conceptual paintings @royalacademy 2005 Visitor artist @ChitraRamnathan http://t.co/aqu0bfvzO2,neutral
Will someone take me to see the mummies at the @britishmuseum please please please??? 🙏🏼,joy
Whale move again http://t.co/qoWiqtA4LP via @camunivmuseums @zoologymuseum @migratorymatt @whale_whispers #raisethewhale,neutral
Engaging work from @opticalmeg at @RAMMuseum #photography #art #wellcometrust http://t.co/yyuw27UH7v,joy
Morning folks! Last week left for 13-18 year olds to win 2 free tix to Defining Beauty at @britishmuseum. Go to our Facebook page for info,neutral
Being good at hunting pays off. King kisses Tristram as a reward @britishmuseum #pride #Pride2015 #PrideinLondon http://t.co/rvUzN5vnpG,joy
A good idea to refresh the perception of the @NationalGallery collection or a modish attempt at trendiness? http://t.co/HHiHr1CXVa,neutral
@Tate #markgodfrey speaking to the #cca #rca students at @_TheWhitechapel this morning #christopherwilliams http://t.co/dkBrmSxCP9,neutral
The 2 things that most moved Angela Merkel at the @britishmuseum Germany show: Luther's Bible &amp; the model of the Friedrichstrasse station.,neutral
"@NationalGallery This is one of my favourite paintings at the National Gallery, I know where it's hung. Beautiful!",joy
"Today, find us at Castle Hill Open Day 2015 @kettlesyard at the Methodist Church. #CastleHill15   Serving 12-4. http://t.co/pMO3b0vZOY",neutral
@britishmuseum that was a marvelous @periscopeco broadcast on Napoleon just now. Great use of this new service.,joy
"These two men in @BritishMuseum from Jebel Sahaba died 13,000 years ago, their bodies riddled with arrows. http://t.co/xJNjmKjB87",neutral
Find out how @TateCollectives @tateliverpool worked with #camhs FRESH with Tate Collective Liverpool | Circuit https://t.co/p9KT6DHP5h,neutral
"I'm at @BritishMuseum in London, Greater London http://t.co/eLzYpV0p08",neutral
@britishmuseum do you think that Napoleon lost because of Russian campain or Waterloo?,neutral
@UofE_Research thank you for following me back. Well done for gathering such an interesting panel for #DefeatingDepression @RAMMuseum,joy
The exquisite #Waddesdon Bequest @britishmuseum is absolutely exceptional. Not to be missed. &amp; it's free! #museumhour http://t.co/Et4h7kRLCr,joy
Had a wonderful time @britishmuseum with @JLMcAleer. Thank you for having me! @SOCLtweet http://t.co/MecWvVlR7E,joy
@tateliverpool Hi there! We've just created this guide of #Liverpool and mentioned you. http://t.co/erjPmVbNMD,neutral
@NationalGallery #lovely,joy
"Plaga de orientales. (at @BritishMuseum in London, Greater London) https://t.co/MPgrKbBbwq",neutral
The Ligon/Pollock exhibition .@tateliverpool that opened today is one of the best in ages. Glenn  Ligon also seems such a nice guy #pollock,joy
"Book for Making &amp; Promoting British Art @PlymouthMuseum http://t.co/gZePLgdc95 Tues 23 June, 1.10pm, £2",neutral
@britishmuseum He looks so happy......not.,neutral
@psframes @NationalGallery # I #LOVE The National Gallery!,joy
@NationalGallery brought son to see Stubbs - v disappointed by room closures re strike action- why close the most popular rooms?,sadness
The Alchemist by Pieter Bruegel the Elder  #art for #StrangeandNorrell in @britishmuseum http://t.co/WMyG34ieii,neutral
@Libby_Brodie @NationalGallery interesting variety,joy
Delicious Dorset crab with avocado and gazpacho @ the beautiful @NationalGallery with @EventConcept #gailsmithflowers http://t.co/sJOfm6E66y,joy
Looking forward to our public engagement event #DefeatDepression  @RAMMuseum @UofE_Research this evening http://t.co/GAG3iJveaC,joy
@britishmuseum @emussj Greatest car park attendant this country has ever seen.,joy
At @RAMMuseum listening to @chrisrwatson Ebb &amp; Flow summer with @Paul4Cowick &amp; Gerald http://t.co/NrW8xmehgc,neutral
Early morning viewing of Defining Beauty at @britishmuseum quite the inspiration for the rest of the day. What a complete treat.,joy
"“@NationalGallery: placing the trees on a diagonal axis, Rousseau conveys a sense of the wind http://t.co/j0vVeGYJTr"" For you, @whatSFSaid",neutral
@HistoryGems @britishmuseum something from ancient Egypt ?,neutral
Enjoying the afternoon at @NationalGallery. #artheals,joy
'I prefer #art to fast cars': fund manager helps British Museum buy Picasso works http://t.co/qhm51iLLL9 @BritishMuseum #Picasso,neutral
@kettlesyard @Countrylifemag look forward to visiting this week. #art #Cambridge,joy
Frames can be works of art on their own. Visit our free #SansovinoFrames exhibition http:... http://t.co/RaxtWpBXYv via @NationalGallery,joy
I'm introducing @britishmuseum Director Neil MacGregor-Germany:Memories of a Nation at #cheltlitfest tomorrow http://t.co/JoyLMUh2Tm Come!,joy
#DefiningBeauty @britishmuseum finally visited the exhibition before it closed next week.. Well worth the trip to London. A brilliant time.,joy
"I'm at @NationalGallery in London, Greater London https://t.co/yA2BEDdTEf",neutral
@pwadey @NationalGallery I have turned the exposure up on this painting to enable easier viewing. #TooDark http://t.co/EBXLSSIDIZ,neutral
¿Como se ve la serpiente mexica de dos cabezas a colores? En el @britishmuseum nos enseñan http://t.co/GKgbC3Q4aI http://t.co/ebRUk4jent,neutral
"If you haven't seen the Christopher Williams show @_TheWhitechapel it finishes this Sunday. Go. Really, go. GO. http://t.co/8HgcUpn4Mn",joy
"Sad, but amazing and exciting things will be happening to @kettlesyard ! https://t.co/ncSFNv1yqU",joy
"@eclectic5 @britishmuseum @PenguinUKBooks @aroberts_andrew he donated it to somebody, as i recall vaguely now",neutral
@barjanas @britishmuseum Portraiture is so fascinating...love all these hidden meanings! Thanks for the info!,joy
"@NationalGallery Weekend getting better &amp; better, #GrantSimonRogers taking #DailyGuidedTour #Entertaining &amp; #Engaging with his group.",joy
{ @britishmuseum } #art #London #ttot #lp #vacation #trip #photography #photo #Travel #travelpics http://t.co/lqvLLQSJkE,neutral
@Hellboy919 @AboutLondon @MadameTussauds @BateauxLondon @britishmuseum @thetattershall @ThamesRIBExp @OXO_Tower @thamesclippers thank you 😊,joy
"@jilldomoney thank you for the RT, following you back, great to see @SWMH_IoPPN represented at #DefeatingDepression @RAMMuseum",joy
"After this weekend @kettlesyard, the 'Louvre of the pebble', closes for 2 years. Go visit while you have the chance! http://t.co/B10YcZGEAT",neutral
@britishmuseum What did they do with all the tourists?,neutral
Don's miss the #events showcase at @britishmuseum on 1 July http://t.co/a4t7hZY1On #eventprofsuk #London,neutral
"Muse, adult art group enjoy Watercolour painting inspired by visit Ruskin's Turner and Elements of Nature shows. @FitzMuseum_UK @CamWhatsOn",neutral
A rare delight to be in the @britishmuseum when it is so quiet and the light of a summer's evening is so splendid http://t.co/MuCGAtPeci,joy
@KirkbrideDebbie @Anchor_Trust @britishmuseum yes i met her. We were tlkg abt the amazing number of visitors they got for @CareHomeOpenDay,joy
Great Baramundi fish @OlympiaAntiques with Clive Loveless. Aboriginal art having a moment with @britishmuseum show http://t.co/581qukhBVt,joy
@psframes @NationalGallery Ma­es­to­so.,neutral
Für alle Väter unter uns. #FathersDay @britishmuseum https://t.co/vHvE4F5Q4m http://t.co/GgSY05TO96,neutral
This is our final weekend before a 2 year closure to complete our building project. After Sunday we will be in other places @kettlesyard,neutral
British Museum: Abstract art: ornaments and aesthetics in Bronze Age Britain and Ireland @BritishMuseum http://t.co/DgjF9u4iyC,neutral
Watch a short of Piero della Francesca’s The Baptism of Christ — now at 11.20:49 CET #ikonotv @NationalGallery http://t.co/jNhUehp5uG,neutral
"Looking forward to #soundscapes @NationalGallery - 'hear' the paintings, 'see' the sounds: how intriguingly enticing! http://t.co/vHceZlWXcm",joy
Lo viste? El tuit más popular de hoy entre las personas que sigo http://t.co/GnzAQrkHvV por @britishmuseum,neutral
St Ives Cornwall News is out! http://t.co/cCO8Jai0GJ Stories via @Tate_StIves,joy
"@NationalGallery That is a fascinating bit of art history. Thanks! I LOVE Albrecht Durer's art. Gloria Poole,RN,artist, Missouri",joy
St Conall Cael's Bell &amp; Shrine 6century Shrine 10 century @ Donegal County Museum on loan from @britishmuseum http://t.co/dMwZa9nz0O,neutral
“Every good painter paints what he is.” Jackson #Pollock coming soon @tateliverpool  http://t.co/4smBKBD6zb http://t.co/RGkbPirGu9,neutral
a chance to see @FL_FLAMIN artists (friends of ours) #sarahturner  http://t.co/Nw1PQbXxNL @_TheWhitechapel,neutral
@NationalGallery #AskTheGallery #noprivatisation https://t.co/0N7UGP7h1Z #ReinstateCandy http://t.co/ZaDR8HN01F,anger
Search for your 'Treasured Possession' @FitzMuseum_UK ; a museum with more treasures than you could imagine 🎎🎏🎭🗿📚📯🚋🏆 http://t.co/uGcTqDAMQy,joy
"@CJRFineArtist thanks. Like you say, you have to have a go :-) @ThelmaHulbert",joy
"And discussed further by @tateliverpool's Darren Pih, here: http://t.co/BhXb4koHke Richard Hawkins: #HijikataTwist",neutral
Spectacular gems and Renaisance jewellery at the new Waddesdon Bequest gallery @britishmuseum . Go admire! http://t.co/gwFUw1FscR,joy
"'Bonaparte's interview with the astronomer at Milan', c. 1800 @britishmuseum #Waterloo200 http://t.co/nUNQh59LkJ http://t.co/U2xCqBTWQd",neutral
Starting my sister's hen do @britishmuseum was an excellent idea. V friendly security guards.  https://t.co/hCXWIH0NSD,joy
@PlymouthMuseum We have a #WarMemorial workshop coming up in your area! Please help us save our War Memorials! https://t.co/OBZOcasNpi,neutral
@JohnConstableRA @NationalGallery @pwadey   I'm intrigued by the portraits and text on the walls of this picture &amp; the lady with the beans?,joy
@psframes @NationalGallery # I Love The National Gallery! #Beautiful!,joy
"Visit Giovanni di Paolo's four #BapistPredella panels @NationalGallery including Birth of John the Baptist, 1454 : http://t.co/3ZEOBf1clF",neutral
Painter #JackSmith was #bornthisday in 1928 @Flowers_NewYork @_TheWhitechapel http://t.co/FTwGDkRkSZ,neutral
"@sferg100 @WhitworthArt @Mini_Stories I'm not sadly, at a session in @britishmuseum run by @AgeofCreativity about older people in museums :)",joy
Cambridge's world famous @kettlesyard closes for two years for major redevelopment http://t.co/9MY7sXBTPH,neutral
In London today visiting @NewDesigners @britishmuseum @WallaceMuseum. Obligatory Great Court shot... http://t.co/bi5kvltovK,joy
@CElaine @MicroPasts @britishmuseum Wow great to see it!! Hope to get new app up soon! ; ),joy
#FF @britishlibrary @britishmuseum @theballetbag @josiedaisy @wahaca @IValueTheArts,neutral
Exquisite works by #painter Paul Rubens presented by @britishmuseum  https://t.co/8BJpLjPiqU,joy
@tateliverpool 🛀🍞☕️📲🏢,neutral
What a bustling wind'r blowing in this amzing painting. Your senses almost feel the sea air @NationalGallery #paint https://t.co/7sbeiDnyvq,joy
I am now a proud member of @tateliverpool if I could only work put how to book a ticket as a member ;0) @laconicphoto @HoylandH @Tate,joy
Thank you @VivStylz @GerryMas The first show @_TheWhitechapel saw 178 paintings being displayed! Several of them are known today,joy
From The Tomb Of #Nebamun — 1350 BC | #Egyptology #Archaeology #AncientEgypt @britishmuseum http://t.co/q5MAh8LzWz,neutral
A real must-see @britishmuseum 'Defining Beauty: The Body in Ancient Greek Art' #London #art http://t.co/2veJjf3IZb http://t.co/mlJ2a9olx4,joy
"Top story: @britishmuseum: 'How tall was Napoleon? Did he say 'not tonight Jose… http://t.co/PR6GFhHCo6, see more http://t.co/NQzOpsaH4Z",neutral
"@ItalianTouristB @britishmuseum @MuseoEgizio https://t.co/350k9RiVNI ""Yes it's real &amp; not man made""  Discovered in 2012",neutral
@britishmuseum a greave?,neutral
"""@chicjwelcouture: http://t.co/uvcr3DfnYk"" Incredible jewels at the @britishmuseum 's new gallery.",joy
@Bobstaah @NationalGallery I will.,neutral
Aunt Fanny says there's a simply wizard Enid Blyton exhibition coming to @PlymouthMuseum: http://t.co/KHdUizx2xj http://t.co/nc31aHBJmF,neutral
